"contactid"	"publicationid"	"pubtype"	"year"	"articletitle"	"citation"	"journal"	"volume"	"issue"	"pages"	"doi"	"booktitle"	"publisher"	"contactid.1"	"numvolumes"	"edition"	"volumetitle"	"seriestitle"	"seriesvolume"	"citationnumber"	"url"	"city"	"state"	"country"	"originallanguage"	"contactid.2"	"notes"
NA	55	NA	"1950"	"Bears from the Pleistocene Cave of San Josecito, Nuevo Leon, Mexico"	NA	"Journal of the Washington Academy of Sciences"	40	NA	"317-321"	NA	"Journal of the Washington Academy of Sciences"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	56	NA	"1950"	"25,000-year-old horse"	NA	"Engineering and Science"	0	NA	"16-17"	NA	"Engineering and Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	57	NA	"1953"	"El caballo pleistocnico (Equus conversidens leoni subsp. nov.) de la cueva de San Josecito, Aramberri, Nuevo Len"	NA	"Memorias del Congreso Cientfico Mexicano"	3	NA	"170-171"	NA	"Memorias del Congreso Cientfico Mexicano"	"Universidad Nacional Autnoma de Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	58	NA	"1987"	"Late Quaternary mammals from the Hueco Mountains, El Paso and Hudspeth Counties, Texas"	NA	"The Southwestern Naturalist"	32	NA	"179-195"	NA	"The Southwestern Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	59	NA	"1990"	"On the relationships of Navahoceras (sic) to other New World Cervidae"	NA	"Journal of Vertebrate Paleontology"	10	NA	"48A"	NA	"Journal of Vertebrate Paleontology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	60	NA	"1992"	"A cranium of Navahoceros and its phylogenetic place among New World Cervidae"	NA	"Ann. Zool. Fennici"	28	NA	"401-410"	NA	"Ann. Zool. Fennici"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	61	NA	"1985"	"Small Pleistocene felines of North America"	NA	"Journal of Vertebrate Paleontology"	5	NA	"194-210"	NA	"Journal of Vertebrate Paleontology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	62	NA	"1955"	"Speciation and dispersal of the southern bog lemming, Synaptomys cooperi (Baird)"	NA	"Journal of Mammalogy"	36	NA	"1-20"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	63	NA	"1970"	"Late Cenozoic Porcupines (Mammalia, Erethizontidae) of North America"	NA	"American Museum Novitates"	0	NA	"1-15"	NA	"American Museum Novitates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	64	NA	"1942"	"Preliminary study of the fauna of Rampart Cave, Arizona"	NA	"Contributions to Paleontology, Carnegie Institution of Washington"	530	NA	"169-185"	NA	"Contributions to Paleontology, Carnegie Institution of Washington"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
